,,3/22/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026
Basin,Elevation Band,%3/22 Avg.,%4/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Belle Fourche,"2,000-3,000'",0,0,0,0,0,0,"1,734.80",NA,NA,NA,0
1. Belle Fourche,"3,000-4,000'",0,0,0,0,0,0,"1,717.40",NA,NA,NA,0
1. Belle Fourche,"4,000-5,000'",0,0,0,0,0,0,"2,849.60",NA,NA,0.0 ( 1 ),0
1. Belle Fourche,"5,000-6,000'",0,0,0,0,0,0,721.2,0.2 ( 1 ),0.0 ( 1 ),0.0 ( 1 ),0
1. Belle Fourche,"6,000-7,000'",22,2,1.9,0.2,17.1,"2,207",208.1,NA,NA,0.0 ( 2 ),0
1. Belle Fourche,"7,000-8,000'",43,6,3.7,0.5,41.7,58,2.3,NA,NA,NA,0
2. Bighorn,"3,000-4,000'",0,0,0,0,0,0,273.6,NA,NA,NA,0
2. Bighorn,"4,000-5,000'",0,0,0,0,0,0,"3,531.10",NA,NA,NA,0
2. Bighorn,"5,000-6,000'",0,0,0,0,0,0,"1,949.70",NA,NA,NA,0
2. Bighorn,"6,000-7,000'",6,0,0.2,0,0.1,200,"1,082.60",NA,NA,NA,0
2. Bighorn,"7,000-8,000'",36,4,2.2,0.2,3.8,"8,918",715.4,2.7 ( 2 ),1.1 ( 2 ),NA,0
2. Bighorn,"8,000-9,000'",67,32,5.8,2.9,28.5,"84,148",541.1,NA,NA,6.2 ( 1 ),1.5
2. Bighorn,"9,000-10,000'",100,75,10.4,8.3,58.2,"189,907",427.2,11.9 ( 4 ),8.9 ( 5 ),NA,8.2
2. Bighorn,"10,000-11,000'",118,96,13.6,12.2,53.4,"159,180",243.8,12.4 ( 1 ),12.0 ( 1 ),NA,12.6
2. Bighorn,"11,000-12,000'",127,108,16.6,15.7,50.7,"77,475",92.4,NA,NA,NA,12.3
2. Bighorn,">12,000'",136,109,19.5,17.6,46.9,"7,157",7.6,NA,NA,NA,11.4
3. Cheyenne,"2,000-3,000'",0,0,0,0,0,0,"3,402.70",NA,NA,NA,0
3. Cheyenne,"3,000-4,000'",0,0,0,0,0,0,"3,673.10",NA,NA,NA,0
3. Cheyenne,"4,000-5,000'",0,0,0,0,0,0,"5,669.50",NA,NA,NA,0
3. Cheyenne,"5,000-6,000'",0,0,0,0,0,0,"2,131.40",NA,NA,0.0 ( 1 ),0
3. Cheyenne,"6,000-7,000'",12,3,0.6,0.1,5.7,"3,263",478.2,0.6 ( 2 ),0.0 ( 2 ),0.0 ( 2 ),0
3. Cheyenne,"7,000-8,000'",21,4,1.6,0.3,21.6,68,4.4,NA,NA,NA,0
4. Gallatin,"4,000-5,000'",0,0,0,0,0,0,462.7,NA,NA,NA,0
4. Gallatin,"5,000-6,000'",0,0,0,0,0,22,296.9,NA,NA,NA,0
4. Gallatin,"6,000-7,000'",28,8,2,0.5,5.8,"7,842",279.8,NA,NA,3.5 ( 1 ),0.5
4. Gallatin,"7,000-8,000'",74,48,7,5,45.9,"98,806",372.8,4.8 ( 1 ),3.4 ( 1 ),6.9 ( 3 ),5.7
4. Gallatin,"8,000-9,000'",111,95,12.7,11.9,75.9,"201,113",315.9,15.6 ( 2 ),15.7 ( 2 ),NA,14.7
4. Gallatin,"9,000-10,000'",142,128,18.9,18.6,81.4,"111,755",112.7,23.7 ( 1 ),23.2 ( 1 ),NA,19.1
4. Gallatin,"10,000-11,000'",138,123,20.4,20.3,59.9,"8,049",7.4,NA,NA,NA,19.8
5. Glendo,"7,000-8,000'",2,0,0.2,0,0,42,591.9,NA,0.0 ( 1 ),NA,0
5. Glendo,"8,000-9,000'",29,0,2.9,0,0,0,119.6,6.6 ( 1 ),2.0 ( 2 ),NA,0.3
5. Glendo,"9,000-10,000'",53,0,5.6,0,0,0,2.6,NA,NA,NA,0.7
6. Jefferson,"5,000-6,000'",20,2,0.2,0,0.2,"1,654","1,665.20",NA,NA,NA,0
6. Jefferson,"6,000-7,000'",45,23,2.3,1.1,10.6,"185,013","3,136.00",6.7 ( 1 ),1.3 ( 2 ),0.2 ( 2 ),0.6
6. Jefferson,"7,000-8,000'",73,41,6,3.5,29,"497,548","2,637.50",6.9 ( 3 ),5.5 ( 3 ),8.1 ( 6 ),3.5
6. Jefferson,"8,000-9,000'",108,82,11.6,9.8,60.8,"592,795","1,135.30",13.2 ( 4 ),16.5 ( 5 ),14.4 ( 4 ),8.4
6. Jefferson,"9,000-10,000'",133,118,16.9,16.8,73.1,"207,743",231.2,15.2 ( 3 ),14.6 ( 3 ),NA,12.7
6. Jefferson,"10,000-11,000'",135,119,17.3,17.5,57.8,"6,563",7,NA,NA,NA,11.5
7. Lower Bighorn,"2,000-3,000'",0,0,0,0,0,0,214,NA,NA,NA,0
7. Lower Bighorn,"3,000-4,000'",0,0,0,0,0,0,"2,139.00",NA,NA,NA,0.1
7. Lower Bighorn,"4,000-5,000'",0,0,0,0,0,0,542.7,NA,NA,NA,0.2
7. Lower Bighorn,"5,000-6,000'",0,0,0,0,0,0,106.8,NA,NA,NA,0.3
7. Lower Bighorn,"6,000-7,000'",12,0,0.8,0,1,49,66.6,NA,NA,NA,0.2
7. Lower Bighorn,"7,000-8,000'",45,17,3.8,1.5,30,"5,443",68.1,NA,NA,NA,0.6
7. Lower Bighorn,"8,000-9,000'",75,57,8.5,6.7,76.5,"33,646",93.5,NA,NA,NA,4.5
7. Lower Bighorn,"9,000-10,000'",93,82,12.7,12.1,87.6,"18,324",28.5,NA,NA,NA,10.5
8. Lower No Platte,"7,000-8,000'",0,0,0,0,0,0,746.6,NA,NA,NA,0
8. Lower No Platte,"8,000-9,000'",3,0,0.2,0,0,0,76.4,NA,NA,NA,0
8. Lower No Platte,"9,000-10,000'",32,4,2.7,0.4,10,21,1,NA,NA,NA,1.3
9. Lower Shoshone,"3,000-4,000'",0,0,0,0,0,0,90.2,NA,NA,NA,0
9. Lower Shoshone,"4,000-5,000'",0,0,0,0,0,0,876.8,NA,NA,NA,0
9. Lower Shoshone,"5,000-6,000'",5,0,0,0,0,0,327.8,NA,NA,NA,0.1
9. Lower Shoshone,"6,000-7,000'",21,0,0.7,0,0,19,117.1,NA,NA,NA,0.1
9. Lower Shoshone,"7,000-8,000'",43,8,2.6,0.5,5.6,952,39.5,NA,NA,NA,0.1
9. Lower Shoshone,"8,000-9,000'",65,34,6,3.4,25.9,"4,075",22.3,NA,NA,NA,0.1
9. Lower Shoshone,"9,000-10,000'",85,0,6,0,0,0,0.7,NA,NA,NA,0
9. Lower Shoshone,"10,000-11,000'",134,103,10.9,10.1,31.3,156,0.3,NA,NA,NA,1.7
10. Madison Headwaters in WY,"4,000-5,000'",0,0,0,0,0,0,173.4,NA,NA,NA,0
10. Madison Headwaters in WY,"5,000-6,000'",0,0,0,0,0,0,437.9,NA,NA,NA,0
10. Madison Headwaters in WY,"6,000-7,000'",34,12,2.6,1,21.3,"27,719",513.2,8.8 ( 2 ),5.4 ( 2 ),0.0 ( 1 ),1.1
10. Madison Headwaters in WY,"7,000-8,000'",67,40,6.7,4.4,46.2,"168,411",717.7,14.4 ( 2 ),13.2 ( 2 ),3.4 ( 4 ),7.4
10. Madison Headwaters in WY,"8,000-9,000'",104,84,12.8,11.4,73.2,"347,894",570.5,15.2 ( 3 ),14.4 ( 3 ),NA,16.4
10. Madison Headwaters in WY,"9,000-10,000'",131,117,18.5,18.3,74.4,"131,187",134.2,NA,NA,NA,18.7
10. Madison Headwaters in WY,">10,000'",141,123,21.7,21.6,52.7,"12,430",10.8,NA,NA,NA,20
11. Powder,"2,000-3,000'",0,0,0,0,0,0,"1,211.40",NA,NA,NA,0
11. Powder,"3,000-4,000'",0,0,0,0,0,0,"3,971.60",NA,NA,NA,0
11. Powder,"4,000-5,000'",0,0,0,0,0,0,"4,662.10",NA,NA,NA,0
11. Powder,"5,000-6,000'",0,0,0,0,0,0,"2,024.50",NA,NA,NA,0
