,4/26/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026
Basin,%4/26 Avg.,%5/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Belle Fourche,0,0,0,0,0,8,"7,233.40",0.0 ( 1 ),0.0 ( 1 ),NA,0
2. Bighorn,63,71,1,1.1,8.2,"522,260","8,864.60",8.6 ( 7 ),8.4 ( 8 ),4.8 ( 4 ),1.3
3. Cheyenne,0,0,0,0,0,0,"15,359.30",0.1 ( 2 ),0.1 ( 2 ),NA,0
4. Gallatin,78,88,3.9,4,24.2,"396,731","1,848.40",16.4 ( 4 ),16.9 ( 4 ),4.1 ( 4 ),6.2
5. Glendo,0,0,0,0,0,0,714.1,0.2 ( 4 ),0.5 ( 4 ),NA,0.4
6. Jefferson,72,88,2.3,2.3,15.5,"1,099,041","8,812.20",11.7 ( 14 ),11.8 ( 14 ),6.0 ( 10 ),3.1
7. Lower Bighorn,54,58,0.3,0.3,3.3,"56,968","3,259.10",NA,NA,NA,0.4
8. Lower No Platte,0,0,0,0,0,0,824,NA,NA,NA,0.3
9. Lower Shoshone,25,33,0.1,0.1,0.7,"4,841","1,474.60",NA,NA,NA,0.1
10. Madison Headwaters in WY,70,77,4.5,4.5,30.1,"614,596","2,557.60",12.2 ( 7 ),12.5 ( 7 ),0.1 ( 3 ),8.3
11. Powder,34,41,0.1,0.1,1,"80,493","13,397.20",2.4 ( 4 ),2.4 ( 5 ),NA,0.2
12. Smith-Judith-Musselshell,56,76,0.5,0.5,3.9,"228,066","8,339.80",9.0 ( 8 ),9.9 ( 9 ),7.3 ( 4 ),0.7
13. Snake,70,76,6.7,6.9,42.7,"2,097,891","5,741.50",10.9 ( 11 ),10.8 ( 11 ),0.0 ( 2 ),8.4
14. Sun-Teton-Marias,125,141,1.1,1.1,5.6,"617,291","10,541.30",4.0 ( 5 ),3.5 ( 5 ),0.3 ( 4 ),1.3
15. Sweetwater,16,25,0.3,0.3,2.7,"18,829","1,201.20",2.8 ( 2 ),3.3 ( 2 ),4.9 ( 1 ),0.8
16. Tongue,52,54,0.4,0.4,3.6,"116,042","5,405.20",3.1 ( 6 ),3.6 ( 6 ),7.8 ( 3 ),0.6
17. Upper Clark Fork,134,152,3.3,3.1,18.4,"979,075","6,006.90",11.5 ( 12 ),11.6 ( 12 ),6.0 ( 10 ),4.7
18. Upper Green,50,59,1.4,2,12.6,"1,006,278","9,583.60",5.0 ( 20 ),4.8 ( 22 ),NA,2.8
19. Upper Missouri,72,100,0.6,0.6,4.1,"92,033","2,956.30",0.5 ( 2 ),0.0 ( 2 ),2.0 ( 3 ),0.5
20. Upper No Platte,11,15,0.3,0.4,7.2,"147,257","7,590.10",7.1 ( 16 ),8.0 ( 16 ),NA,1.5
21. Upper Shoshone,105,112,7.6,8,44.1,"643,205","1,505.30",6.9 ( 4 ),6.8 ( 4 ),NA,9.1
22. Upper Snake Basins,45,55,1.7,1.7,10.9,"625,175","6,974.50",6.6 ( 11 ),6.3 ( 11 ),4.7 ( 11 ),2.7
23. Upper Yellowstone,96,102,5,5.2,29.5,"3,104,084","11,233.00",11.7 ( 20 ),12.0 ( 20 ),2.2 ( 4 ),6.8
24. Wind,75,83,2,2.1,13.6,"868,356","7,750.00",5.5 ( 8 ),5.4 ( 9 ),0.5 ( 7 ),2.9
25. Wood and Lost Basins,60,78,1.9,2.1,13.5,"815,040","7,420.10",4.8 ( 16 ),4.5 ( 16 ),NA,1.6
