,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
1. Central Columbia,92,10,63.3,"1,131,029","2,129.50",14.3 ( 7 ),NA,18.5
2. Central Puget Sound,142,6.4,30.4,"423,377","1,246.10",13.3 ( 5 ),14.7 ( 1 ),16.4
3. Hood-Sandy-Lower Deschutes,29,0.5,7,"145,283","5,083.40",4.8 ( 11 ),4.8 ( 2 ),3.2
4. Klamath,11,0.5,10.3,"185,778","7,543.00",2.8 ( 16 ),3.5 ( 5 ),0.8
5. Lewis,29,0.7,6.5,"21,039",583.2,8.7 ( 7 ),NA,5.9
6. Lower Cowlitz,37,1.9,22.2,"18,999",190.5,4.9 ( 2 ),NA,2.8
7. Naches,55,3.1,34.6,"99,986",614,13.5 ( 4 ),NA,10.7
8. North Puget Sound,130,6.7,30.6,"831,697","2,342.10",21.0 ( 9 ),27.2 ( 1 ),22
9. Olympic,54,6.7,40.1,"84,522",236.4,9.1 ( 3 ),NA,12.2
10. Rogue-Umpqua,22,0.5,5.4,"96,389","3,388.60",1.3 ( 6 ),1.0 ( 11 ),0.8
11. South Puget Sound,41,1.3,10.5,"79,978","1,146.00",6.2 ( 14 ),1.5 ( 2 ),9.2
12. Upper Columbia,69,4.9,42.1,"1,441,721","5,486.20",9.0 ( 7 ),4.0 ( 8 ),7.6
13. Upper Cowlitz,61,2.3,14.8,"86,812",717.7,10.2 ( 3 ),NA,12.3
14. Upper Deschutes-Crooked,13,0.6,9.1,"179,719","5,681.70",4.3 ( 7 ),0.4 ( 3 ),1.2
15. Upper Yakima,66,4.5,48.3,"245,719","1,031.70",6.8 ( 3 ),NA,6.9
16. Willamette,30,0.2,2.8,"148,411","11,470.90",2.2 ( 18 ),NA,0.5
