,,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
1. Central Columbia,"3,000-4,000'",58,3.7,43,"130,499",658.8,14.6 ( 2 ),NA,6.3
1. Central Columbia,"4,000-5,000'",84,7.5,56.2,"213,396",532.7,3.1 ( 2 ),NA,14.5
1. Central Columbia,"5,000-6,000'",108,13.5,76.1,"384,143",533.9,19.2 ( 2 ),NA,24.1
1. Central Columbia,"6,000-7,000'",108,18.4,87.4,"316,610",323,NA,NA,34.2
1. Central Columbia,"7,000-8,000'",94,20,89.5,"83,116",77.9,NA,NA,41.5
1. Central Columbia,"8,000-9,000'",96,18.7,91,"3,266",3.3,NA,NA,43.3
2. Central Puget Sound,"3,000-4,000'",84,1.4,9.2,"40,611",555.8,13.3 ( 3 ),14.7 ( 1 ),9.4
2. Central Puget Sound,"4,000-5,000'",139,6.1,31.1,"149,561",457.3,13.2 ( 2 ),NA,14.7
2. Central Puget Sound,"5,000-6,000'",179,17.1,69.6,"163,451",179.2,NA,NA,27.6
2. Central Puget Sound,"6,000-7,000'",153,24.1,88.4,"61,312",47.8,NA,NA,49.2
2. Central Puget Sound,"7,000-8,000'",118,25.6,93.6,"7,914",5.8,NA,NA,70
2. Central Puget Sound,"8,000-9,000'",92,31.5,97,324,0.2,NA,NA,92.6
2. Central Puget Sound,">9,000'",125,39.5,100,203,0.1,NA,NA,155.4
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",1,0,0.2,887,"2,531.10",0.2 ( 1 ),NA,0.7
3. Hood-Sandy-Lower Deschutes,"3,000-4,000'",7,0.1,3,"9,852","1,613.30",3.8 ( 5 ),NA,3.2
3. Hood-Sandy-Lower Deschutes,"4,000-5,000'",29,1.2,21.2,"44,757",693.5,6.3 ( 2 ),2.4 ( 1 ),6.3
3. Hood-Sandy-Lower Deschutes,"5,000-6,000'",61,5.1,52.9,"55,298",203,6.1 ( 2 ),NA,10.3
3. Hood-Sandy-Lower Deschutes,"6,000-7,000'",70,13.6,80.3,"23,040",31.7,9.0 ( 1 ),7.3 ( 1 ),25.3
3. Hood-Sandy-Lower Deschutes,"7,000-8,000'",61,17.7,85,"7,651",8.1,NA,NA,40.1
3. Hood-Sandy-Lower Deschutes,"8,000-9,000'",50,24.7,91.4,"2,413",1.8,NA,NA,54.8
3. Hood-Sandy-Lower Deschutes,"9,000-10,000'",45,31.8,98.8,"1,147",0.7,NA,NA,131.7
3. Hood-Sandy-Lower Deschutes,">10,000'",44,23.1,99.8,238,0.2,NA,NA,359.2
4. Klamath,"4,000-5,000'",1,0.1,4.7,"16,920","4,630.00",0.9 ( 3 ),0.5 ( 2 ),0.3
4. Klamath,"5,000-6,000'",6,0.4,10,"42,432","2,247.50",2.6 ( 9 ),NA,1.1
4. Klamath,"6,000-7,000'",31,3,47.4,"91,909",578.1,5.3 ( 3 ),7.6 ( 2 ),2.9
4. Klamath,"7,000-8,000'",59,7.3,72.5,"33,501",85.8,2.6 ( 1 ),NA,4.3
4. Klamath,"8,000-9,000'",74,12.3,81.1,"1,015",1.5,NA,NA,7.7
5. Lewis,"2,000-3,000'",11,0.1,1.6,"1,096",274.4,1.2 ( 2 ),NA,2.7
5. Lewis,"3,000-4,000'",20,0.5,7.4,"6,073",213.1,9.8 ( 3 ),NA,6.6
5. Lewis,"4,000-5,000'",28,1.1,10.4,"4,695",79.6,14.6 ( 2 ),NA,11.1
5. Lewis,"5,000-6,000'",64,6.3,38.3,"3,645",10.8,NA,NA,15.9
5. Lewis,"6,000-7,000'",75,18.4,71.9,"4,069",4.2,NA,NA,28.8
5. Lewis,"7,000-8,000'",75,26.5,76.2,"1,089",0.8,NA,NA,39.7
5. Lewis,">8,000'",51,24,78,371,0.3,NA,NA,54
6. Lower Cowlitz,"3,000-4,000'",21,0.7,13.4,"5,383",139.5,4.9 ( 2 ),NA,1.8
6. Lower Cowlitz,"4,000-5,000'",49,4,44.3,"9,061",42,NA,NA,4.2
6. Lower Cowlitz,"5,000-6,000'",66,8.1,52.6,"2,781",6.5,NA,NA,7.3
6. Lower Cowlitz,"6,000-7,000'",139,13.6,52.2,"1,190",1.6,NA,NA,17.1
6. Lower Cowlitz,"7,000-8,000'",70,11.3,58.1,583,1,NA,NA,28.1
7. Naches,"4,000-5,000'",32,1.2,23.4,"21,353",328.6,7.9 ( 2 ),NA,7.2
7. Naches,"5,000-6,000'",62,4,41.3,"50,669",236.5,19.2 ( 2 ),NA,13.3
7. Naches,"6,000-7,000'",81,10.5,74.7,"26,582",47.6,NA,NA,19.9
7. Naches,"7,000-8,000'",74,19.2,93.7,"1,382",1.4,NA,NA,38.9
8. North Puget Sound,"1,000-2,000'",38,0,0.3,420,352,NA,NA,0.8
8. North Puget Sound,"2,000-3,000'",37,0.3,2.2,"6,014",426.6,NA,NA,4.7
8. North Puget Sound,"3,000-4,000'",84,2,11.5,"55,912",520.6,8.8 ( 3 ),NA,13.4
8. North Puget Sound,"4,000-5,000'",139,8.6,37.9,"224,839",490.7,14.1 ( 4 ),NA,27
8. North Puget Sound,"5,000-6,000'",151,17.4,71.4,"355,385",382.6,44.3 ( 3 ),27.2 ( 1 ),41.4
8. North Puget Sound,"6,000-7,000'",134,20.8,84.6,"168,181",151.4,NA,NA,51.3
8. North Puget Sound,"7,000-8,000'",115,21.1,86.4,"19,029",16.9,NA,NA,76.6
8. North Puget Sound,"8,000-9,000'",123,28.7,96.7,"1,918",1.3,NA,NA,197
9. Olympic,"4,000-5,000'",41,2.9,21,"20,792",132.3,8.7 ( 2 ),NA,10.3
9. Olympic,"5,000-6,000'",58,10.7,61,"48,818",85.6,10.0 ( 1 ),NA,14.2
9. Olympic,">6,000'",66,15.2,77.6,"14,913",18.4,NA,NA,15.8
10. Rogue-Umpqua,"3,000-4,000'",0,0,0,0,"1,692.80",0.2 ( 1 ),0.4 ( 4 ),0
10. Rogue-Umpqua,"4,000-5,000'",2,0,0.6,"1,502",927,0.4 ( 2 ),0.5 ( 4 ),0.3
10. Rogue-Umpqua,"5,000-6,000'",23,1.4,17.5,"40,388",557.7,1.0 ( 2 ),1.5 ( 2 ),2.2
