,,2/1/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026,2/8/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026
Basin,Elevation Band,%2/1 Avg.,%2/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Central Columbia,"3,000-4,000'",58,55,3.7,4.3,43.5,"151,771",658.8,14.6 ( 2 ),15.8 ( 2 ),6.3
1. Central Columbia,"4,000-5,000'",84,78,7.5,8.7,56.7,"246,141",532.7,3.1 ( 2 ),3.5 ( 1 ),15
1. Central Columbia,"5,000-6,000'",108,99,13.5,15.1,76.6,"428,561",533.9,19.2 ( 2 ),20.1 ( 2 ),25.1
1. Central Columbia,"6,000-7,000'",108,100,18.4,20.3,86.5,"349,351",323,NA,NA,35.5
1. Central Columbia,"7,000-8,000'",94,89,20,22.3,87.7,"92,487",77.9,NA,NA,42.9
1. Central Columbia,"8,000-9,000'",96,88,18.7,21,82,"3,672",3.3,NA,NA,44.4
2. Central Puget Sound,"3,000-4,000'",84,78,1.4,1.5,9,"44,418",555.8,13.3 ( 3 ),12.8 ( 3 ),7.5
2. Central Puget Sound,"4,000-5,000'",139,132,6.1,6.6,31.1,"160,951",457.3,13.2 ( 2 ),13.3 ( 2 ),13.7
2. Central Puget Sound,"5,000-6,000'",179,171,17.1,18.2,68.3,"174,173",179.2,NA,NA,28.3
2. Central Puget Sound,"6,000-7,000'",153,145,24.1,26,87.2,"66,367",47.8,NA,NA,51.3
2. Central Puget Sound,"7,000-8,000'",118,114,25.6,28.6,93.6,"8,836",5.8,NA,NA,72.5
2. Central Puget Sound,"8,000-9,000'",92,95,31.5,34.7,100,357,0.2,NA,NA,95.1
2. Central Puget Sound,">9,000'",125,120,39.5,43.7,100,225,0.1,NA,NA,157.4
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",1,1,0,0,0.2,735,"2,531.10",0.2 ( 1 ),0.0 ( 1 ),0.5
3. Hood-Sandy-Lower Deschutes,"3,000-4,000'",7,6,0.1,0.1,3.1,"8,705","1,613.30",3.8 ( 5 ),3.0 ( 5 ),2.7
3. Hood-Sandy-Lower Deschutes,"4,000-5,000'",29,25,1.2,1.2,22.1,"44,226",693.5,6.3 ( 2 ),9.8 ( 1 ),5.9
3. Hood-Sandy-Lower Deschutes,"5,000-6,000'",61,54,5.1,5.3,53.8,"57,696",203,6.1 ( 2 ),5.4 ( 2 ),10.2
3. Hood-Sandy-Lower Deschutes,"6,000-7,000'",70,65,13.6,14.2,83.6,"23,981",31.7,9.0 ( 1 ),9.4 ( 1 ),26.5
3. Hood-Sandy-Lower Deschutes,"7,000-8,000'",61,57,17.7,18.7,83.4,"8,079",8.1,NA,NA,42.2
3. Hood-Sandy-Lower Deschutes,"8,000-9,000'",50,50,24.7,26.2,89.8,"2,565",1.8,NA,NA,57.2
3. Hood-Sandy-Lower Deschutes,"9,000-10,000'",45,47,31.8,35.1,95.5,"1,263",0.7,NA,NA,134.4
3. Hood-Sandy-Lower Deschutes,">10,000'",44,43,23.1,26.1,99.1,269,0.2,NA,NA,362.3
4. Klamath,"4,000-5,000'",1,1,0.1,0,3,"4,027","4,630.00",0.9 ( 3 ),0.7 ( 3 ),0.2
4. Klamath,"5,000-6,000'",6,4,0.4,0.2,7.4,"27,569","2,247.50",2.6 ( 9 ),2.4 ( 9 ),0.8
4. Klamath,"6,000-7,000'",31,27,3,2.8,46,"85,511",578.1,5.3 ( 3 ),4.9 ( 3 ),2
4. Klamath,"7,000-8,000'",59,53,7.3,7.4,75.2,"33,910",85.8,2.6 ( 1 ),2.5 ( 1 ),3.1
4. Klamath,"8,000-9,000'",74,67,12.3,12.5,89.4,"1,030",1.5,NA,NA,6.9
5. Lewis,"2,000-3,000'",11,8,0.1,0.1,1.6,"1,067",274.4,1.2 ( 2 ),0.8 ( 2 ),1.7
5. Lewis,"3,000-4,000'",20,17,0.5,0.6,7.7,"6,507",213.1,9.8 ( 3 ),8.6 ( 3 ),4.8
5. Lewis,"4,000-5,000'",28,26,1.1,1.3,12.2,"5,350",79.6,14.6 ( 2 ),14.7 ( 2 ),9.8
5. Lewis,"5,000-6,000'",64,60,6.3,6.8,41.1,"3,908",10.8,NA,NA,16.1
5. Lewis,"6,000-7,000'",75,69,18.4,18.6,72.7,"4,111",4.2,NA,NA,30.3
5. Lewis,"7,000-8,000'",75,64,26.5,26.6,73.6,"1,096",0.8,NA,NA,42.1
5. Lewis,">8,000'",51,50,24,26,81.8,401,0.3,NA,NA,56.8
6. Lower Cowlitz,"3,000-4,000'",21,17,0.7,0.8,12.9,"5,642",139.5,4.9 ( 2 ),4.3 ( 2 ),0.8
6. Lower Cowlitz,"4,000-5,000'",49,42,4,4.4,42.7,"9,767",42,NA,NA,2.1
6. Lower Cowlitz,"5,000-6,000'",66,53,8.1,8.2,53.1,"2,813",6.5,NA,NA,4.6
6. Lower Cowlitz,"6,000-7,000'",139,98,13.6,14.1,63.5,"1,237",1.6,NA,NA,16.5
6. Lower Cowlitz,"7,000-8,000'",70,55,11.3,12.2,48.9,626,1,NA,NA,29.6
7. Naches,"4,000-5,000'",32,28,1.2,1.2,23.8,"20,726",328.6,7.9 ( 2 ),8.9 ( 2 ),7
