,2/22/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026
Basin,%2/22 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Central Columbia,63,77,11,12.4,61.6,"1,411,884","2,129.50",17.1 ( 6 ),16.1 ( 7 ),NA,20.8
2. Central Puget Sound,82,125,7.5,9.2,36.4,"610,286","1,246.10",15.9 ( 5 ),18.2 ( 5 ),16.8 ( 1 ),19
3. Hood-Sandy-Lower Deschutes,28,31,0.7,0.8,9.2,"222,464","5,083.40",6.8 ( 11 ),7.9 ( 11 ),NA,4.5
4. Klamath,14,15,0.7,0.7,9.3,"292,642","7,543.00",4.1 ( 16 ),3.6 ( 16 ),9.2 ( 2 ),1
5. Lewis,22,29,0.9,1.1,8.4,"34,562",583.2,11.2 ( 7 ),12.8 ( 7 ),NA,8.4
6. Lower Cowlitz,31,39,2.5,3.3,30.6,"33,108",190.5,7.4 ( 2 ),8.8 ( 2 ),NA,6.1
7. Naches,44,58,3.8,4.9,48.8,"160,568",614,16.5 ( 4 ),18.8 ( 4 ),NA,15.1
8. North Puget Sound,83,128,8,10.1,39.4,"1,263,726","2,342.10",22.9 ( 9 ),25.7 ( 9 ),NA,26.3
9. Olympic,39,65,8,11.3,56.5,"141,932",236.4,10.3 ( 3 ),13.0 ( 3 ),NA,17.7
10. Rogue-Umpqua,24,24,0.8,0.9,7.5,"168,976","3,388.60",2.5 ( 6 ),1.3 ( 6 ),0.6 ( 10 ),1.2
11. South Puget Sound,30,42,1.5,2,12.5,"119,667","1,146.00",7.0 ( 13 ),8.1 ( 13 ),0.4 ( 2 ),10.6
12. Upper Columbia,57,67,5.6,6.5,46.1,"1,888,438","5,486.20",9.9 ( 7 ),10.4 ( 7 ),0.5 ( 1 ),9
13. Upper Cowlitz,44,63,2.8,3.5,18.2,"132,880",717.7,12.8 ( 3 ),15.2 ( 3 ),NA,16
14. Upper Deschutes-Crooked,19,21,1,1.1,12,"319,162","5,681.70",6.3 ( 7 ),6.3 ( 7 ),NA,2.1
15. Upper Yakima,44,53,4.6,5.5,45.8,"301,537","1,031.70",7.6 ( 3 ),8.3 ( 3 ),NA,8.4
16. Willamette,29,32,0.3,0.4,3.5,"246,262","11,470.90",3.7 ( 18 ),3.0 ( 18 ),NA,1
