,3/15/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026,3/22/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026
Basin,%3/15 Avg.,%3/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Central Columbia,93,76,16,14.3,57.4,"1,622,327","2,129.50",21.7 ( 6 ),16.5 ( 7 ),24.2
2. Central Puget Sound,147,108,13.9,12.4,36.5,"822,614","1,246.10",26.0 ( 5 ),22.8 ( 5 ),26.1
3. Hood-Sandy-Lower Deschutes,37,27,1.1,0.8,6.7,"217,638","5,083.40",10.2 ( 10 ),6.9 ( 11 ),3.4
4. Klamath,12,8,0.5,0.3,3.2,"131,271","7,543.00",2.7 ( 16 ),1.1 ( 16 ),0.3
5. Lewis,34,26,1.6,1.4,8.1,"42,704",583.2,14.7 ( 7 ),13.0 ( 7 ),7.6
6. Lower Cowlitz,51,42,4.8,4,30.2,"40,706",190.5,8.8 ( 2 ),7.2 ( 2 ),3.8
7. Naches,69,52,6.6,5.5,48.1,"181,395",614,27.5 ( 4 ),24.9 ( 4 ),19.6
8. North Puget Sound,146,110,14.4,12.8,38.5,"1,594,610","2,342.10",30.9 ( 9 ),29.5 ( 9 ),31.3
9. Olympic,84,64,17.2,14.7,56.8,"185,610",236.4,16.3 ( 3 ),13.3 ( 3 ),19.1
10. Rogue-Umpqua,27,16,1.3,0.8,5,"143,450","3,388.60",1.1 ( 6 ),0.7 ( 6 ),0.6
11. South Puget Sound,57,45,3,2.7,13.4,"164,058","1,146.00",16.1 ( 13 ),12.7 ( 14 ),15.5
12. Upper Columbia,72,64,6.6,5.8,31.7,"1,683,892","5,486.20",11.0 ( 7 ),8.2 ( 7 ),8
13. Upper Cowlitz,76,56,5.1,4.5,18.8,"172,760",717.7,20.1 ( 3 ),17.9 ( 3 ),20.1
14. Upper Deschutes-Crooked,22,14,1,0.7,4.6,"198,297","5,681.70",6.3 ( 6 ),3.8 ( 7 ),0.9
15. Upper Yakima,65,53,7,5.9,36.5,"326,814","1,031.70",12.8 ( 3 ),9.9 ( 3 ),10.6
16. Willamette,36,22,0.5,0.4,2.3,"221,226","11,470.90",2.2 ( 18 ),1.1 ( 18 ),0.5
