,,3/22/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026
Basin,Elevation Band,%3/22 Avg.,%4/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Central Columbia,"3,000-4,000'",43,43,3.3,3,17.9,"106,184",658.8,14.3 ( 2 ),15.3 ( 2 ),NA,5.8
1. Central Columbia,"4,000-5,000'",64,66,11.1,11.2,48.6,"318,417",532.7,2.6 ( 2 ),2.4 ( 2 ),NA,19
1. Central Columbia,"5,000-6,000'",86,92,20.8,21.9,78.7,"623,134",533.9,25.0 ( 2 ),25.7 ( 2 ),NA,34.5
1. Central Columbia,"6,000-7,000'",92,99,27.4,28.8,83.8,"496,873",323,NA,NA,NA,49
1. Central Columbia,"7,000-8,000'",85,93,29.6,31.3,79.5,"130,099",77.9,NA,NA,NA,58.4
1. Central Columbia,"8,000-9,000'",81,91,27.9,30.4,83.7,"5,317",3.3,NA,NA,NA,60.3
2. Central Puget Sound,"3,000-4,000'",63,81,3.6,4.5,19.3,"132,757",555.8,23.2 ( 3 ),25.4 ( 3 ),25.6 ( 1 ),15.7
2. Central Puget Sound,"4,000-5,000'",107,127,13.2,14.9,48.6,"363,661",457.3,22.2 ( 2 ),23.6 ( 2 ),NA,25.2
2. Central Puget Sound,"5,000-6,000'",140,165,29.6,31.5,75.7,"300,688",179.2,NA,NA,NA,45.5
2. Central Puget Sound,"6,000-7,000'",125,148,38.7,39.8,83.1,"101,344",47.8,NA,NA,NA,75.7
2. Central Puget Sound,"7,000-8,000'",103,122,40,41.3,86.9,"12,751",5.8,NA,NA,NA,102.4
2. Central Puget Sound,"8,000-9,000'",95,112,49.7,51,100,525,0.2,NA,NA,NA,115.5
2. Central Puget Sound,">9,000'",118,148,64.6,67.2,100,346,0.1,NA,NA,NA,156.1
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",3,3,0,0,0.1,590,"2,531.10",0.0 ( 1 ),0.0 ( 1 ),NA,0
3. Hood-Sandy-Lower Deschutes,"3,000-4,000'",6,4,0.1,0.1,0.7,"6,153","1,613.30",3.9 ( 5 ),3.0 ( 5 ),NA,1.9
3. Hood-Sandy-Lower Deschutes,"4,000-5,000'",19,16,1.5,1.2,13.7,"44,067",693.5,8.0 ( 2 ),7.7 ( 2 ),NA,7.6
3. Hood-Sandy-Lower Deschutes,"5,000-6,000'",51,49,8.6,8.2,56,"88,297",203,10.2 ( 2 ),10.1 ( 2 ),NA,18.7
3. Hood-Sandy-Lower Deschutes,"6,000-7,000'",65,66,21.5,21.3,80.3,"35,921",31.7,20.1 ( 1 ),20.0 ( 1 ),NA,48
3. Hood-Sandy-Lower Deschutes,"7,000-8,000'",58,62,27.6,27.5,77,"11,913",8.1,NA,NA,NA,67.3
3. Hood-Sandy-Lower Deschutes,"8,000-9,000'",53,62,41.4,41.4,83.7,"4,046",1.8,NA,NA,NA,86.4
3. Hood-Sandy-Lower Deschutes,"9,000-10,000'",48,60,53.4,54,96.4,"1,945",0.7,NA,NA,NA,150.2
3. Hood-Sandy-Lower Deschutes,">10,000'",41,48,34.8,36.5,93.5,376,0.2,NA,NA,NA,435.3
4. Klamath,"4,000-5,000'",0,0,0,0,0,0,"4,630.00",0.0 ( 3 ),0.0 ( 3 ),0.0 ( 2 ),0
4. Klamath,"5,000-6,000'",2,1,0.1,0,0.3,"3,761","2,247.50",0.7 ( 9 ),0.0 ( 9 ),NA,0.1
4. Klamath,"6,000-7,000'",15,10,2.4,1.4,13.5,"44,433",578.1,4.0 ( 3 ),2.4 ( 3 ),7.5 ( 2 ),1.3
4. Klamath,"7,000-8,000'",45,39,9.5,7.9,59.7,"36,342",85.8,0.0 ( 1 ),0.0 ( 1 ),NA,2.4
4. Klamath,"8,000-9,000'",59,53,15.8,14.1,97.1,"1,161",1.5,NA,NA,NA,6.3
5. Lewis,"2,000-3,000'",4,3,0.1,0,0.5,507,274.4,0.0 ( 2 ),0.0 ( 2 ),NA,0.8
5. Lewis,"3,000-4,000'",16,16,1,1,8.4,"10,943",213.1,13.6 ( 3 ),12.6 ( 3 ),NA,7.2
5. Lewis,"4,000-5,000'",31,30,3,3,19.2,"12,647",79.6,25.0 ( 2 ),24.6 ( 2 ),NA,19.7
5. Lewis,"5,000-6,000'",67,74,14.6,15.3,68.6,"8,841",10.8,NA,NA,NA,34.3
5. Lewis,"6,000-7,000'",72,83,30.6,31.1,83.9,"6,886",4.2,NA,NA,NA,56.7
5. Lewis,"7,000-8,000'",61,72,43.8,42.8,80.6,"1,764",0.8,NA,NA,NA,74
5. Lewis,">8,000'",50,58,38.3,38.9,77,601,0.3,NA,NA,NA,101.1
6. Lower Cowlitz,"3,000-4,000'",27,27,1.7,1.6,19.2,"11,940",139.5,7.2 ( 2 ),6.7 ( 2 ),NA,2.1
6. Lower Cowlitz,"4,000-5,000'",52,54,8.3,8.3,55.8,"18,592",42,NA,NA,NA,6.8
6. Lower Cowlitz,"5,000-6,000'",67,74,18.5,18.7,83.7,"6,462",6.5,NA,NA,NA,12.4
6. Lower Cowlitz,"6,000-7,000'",76,83,23.9,24,83.5,"2,104",1.6,NA,NA,NA,35.3
6. Lower Cowlitz,"7,000-8,000'",59,73,21.6,24.4,83.6,"1,257",1,NA,NA,NA,51.3
7. Naches,"4,000-5,000'",30,24,2.1,1.4,15.7,"24,656",328.6,16.0 ( 2 ),15.7 ( 2 ),NA,11.8
7. Naches,"5,000-6,000'",59,60,7.8,7.8,55.3,"98,169",236.5,33.8 ( 2 ),34.7 ( 2 ),NA,26.2
7. Naches,"6,000-7,000'",77,81,17.5,17.6,78.1,"44,667",47.6,NA,NA,NA,37.1
7. Naches,"7,000-8,000'",70,78,30.1,30.4,75.6,"2,190",1.4,NA,NA,NA,68.2
8. North Puget Sound,"1,000-2,000'",8,14,0,0,0.2,535,352,NA,NA,NA,0.6
8. North Puget Sound,"2,000-3,000'",44,60,0.9,1.2,6.7,"27,428",426.6,NA,NA,1.8 ( 2 ),5.4
8. North Puget Sound,"3,000-4,000'",88,110,6.3,7.5,29.3,"207,920",520.6,11.8 ( 3 ),14.8 ( 3 ),3.9 ( 2 ),20.4
8. North Puget Sound,"4,000-5,000'",119,145,18.4,20.6,61.5,"540,178",490.7,18.9 ( 4 ),20.8 ( 4 ),NA,43.2
8. North Puget Sound,"5,000-6,000'",123,147,30,32.1,83,"654,770",382.6,62.0 ( 3 ),63.2 ( 3 ),39.2 ( 1 ),64.3
8. North Puget Sound,"6,000-7,000'",114,135,33.4,35.4,85.2,"285,841",151.4,NA,NA,NA,76
8. North Puget Sound,"7,000-8,000'",99,120,34.1,37.1,86.4,"33,463",16.9,NA,NA,NA,102.9
8. North Puget Sound,"8,000-9,000'",105,129,45.2,47.5,95.9,"3,181",1.3,NA,NA,NA,275.8
9. Olympic,"4,000-5,000'",55,71,8.8,9.5,46.5,"66,990",132.3,13.3 ( 2 ),13.9 ( 2 ),6.4 ( 2 ),19.1
9. Olympic,"5,000-6,000'",69,84,21.5,21.6,77.3,"98,717",85.6,13.3 ( 1 ),17.6 ( 1 ),0.2 ( 1 ),25.6
9. Olympic,">6,000'",71,87,25.6,25.9,78.9,"25,437",18.4,NA,NA,NA,26.7
10. Rogue-Umpqua,"3,000-4,000'",0,0,0,0,0,0,"1,692.80",0.0 ( 1 ),0.0 ( 1 ),0.0 ( 4 ),0
10. Rogue-Umpqua,"4,000-5,000'",0,0,0,0,0,0,927,0.1 ( 2 ),0.0 ( 2 ),0.0 ( 6 ),0
10. Rogue-Umpqua,"5,000-6,000'",12,4,1.6,0.5,3.3,"14,215",557.7,0.0 ( 2 ),0.1 ( 2 ),0.0 ( 2 ),0.4
10. Rogue-Umpqua,"6,000-7,000'",32,25,7.9,5.9,32.4,"60,940",194.2,3.8 ( 1 ),1.1 ( 1 ),0.0 ( 2 ),4
