,,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
0. Trinity,"5,000-6,000'",28,2.5,41.2,"19,916",152.3,2.5 ( 2 ),NA,3.5
0. Trinity,"6,000-7,000'",49,6.5,80.7,"45,756",133,5.2 ( 5 ),8.8 ( 2 ),4.0
0. Trinity,"7,000-8,000'",50,9.1,81.6,"17,099",35.1,NA,8.5 ( 2 ),3.5
0. Trinity,"8,000-9,000'",54,13.3,77.7,686,1,NA,NA,4.8
1. Upper Sacramento,"5,000-6,000'",38,3.6,56.3,"12,258",64.1,4.9 ( 1 ),NA,4.6
1. Upper Sacramento,"6,000-7,000'",50,6.4,79.4,"12,387",36.2,14.9 ( 1 ),10.5 ( 2 ),6.1
1. Upper Sacramento,"7,000-8,000'",55,8.6,82.9,"4,041",8.8,NA,22.0 ( 1 ),10.4
1. Upper Sacramento,"8,000-9,000'",57,10,81.1,"1,238",2.3,NA,NA,21.3
1. Upper Sacramento,"9,000-10,000'",60,14.3,87.4,"1,327",1.7,NA,NA,35.5
1. Upper Sacramento,"10,000-11,000'",61,19.1,82.8,886,0.9,NA,NA,37.5
1. Upper Sacramento,">11,000'",59,22,78.8,"1,362",1.2,NA,NA,33.6
2. McCloud,"5,000-6,000'",37,3.1,65.7,"15,981",96.8,9.7 ( 1 ),5.5 ( 1 ),8.0
2. McCloud,"6,000-7,000'",56,5.6,86.7,"12,351",41.7,NA,13.0 ( 1 ),10.2
2. McCloud,"7,000-8,000'",59,7.8,85.4,"5,918",14.2,NA,NA,18.9
2. McCloud,"8,000-9,000'",64,10.1,79.1,"3,467",6.5,NA,NA,32.5
2. McCloud,"9,000-10,000'",63,12.9,77.6,"2,131",3.1,NA,NA,38.1
2. McCloud,"10,000-11,000'",60,16.9,90.6,"1,306",1.4,NA,NA,46.7
