,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
0. Trinity,41,4.9,62.1,"83,457",321.4,4.4 ( 7 ),8.6 ( 4 ),3.7
1. Upper Sacramento,45,5.5,67,"33,499",115.2,9.9 ( 2 ),14.3 ( 3 ),6.9
2. McCloud,48,4.9,74,"42,869",164.9,9.7 ( 1 ),9.2 ( 2 ),11.9
3. Pit,26,1.3,20,"142,881","2,086.20",6.3 ( 5 ),3.8 ( 4 ),2.1
4. Sacramento at Bend Bridge,30,2.3,25.9,"29,003",240,NA,NA,3.8
5. Feather,55,4.8,64.3,"543,411","2,117.50",9.6 ( 7 ),6.9 ( 18 ),5.7
6. Yuba,37,4.5,48.1,"126,919",525.6,11.9 ( 4 ),10.9 ( 14 ),7.0
7. American,41,5.4,51.7,"230,866",807,8.0 ( 13 ),8.5 ( 8 ),5.8
8. Cosumnes,24,2,19.8,"9,614",91.9,NA,NA,1.2
9. Mokelumne,47,6.1,53,"103,000",317.9,11.4 ( 3 ),9.4 ( 9 ),6.7
10. Stanislaus,53,6.8,59.6,"205,299",562.9,11.8 ( 4 ),10.6 ( 14 ),6.1
11. Tuolomne,55,7.7,56.4,"373,491",915,9.7 ( 8 ),11.8 ( 8 ),7.9
12. Merced,63,7.8,61.8,"225,660",539.4,16.3 ( 2 ),13.7 ( 5 ),9.9
13. San Joaquin,65,8.5,65.4,"557,438","1,225.40",9.9 ( 7 ),12.2 ( 21 ),11.4
14. Kings,67,8.9,61.5,"573,471","1,213.40",14.4 ( 7 ),13.4 ( 22 ),10.4
15. Kaweah,53,5.3,36.3,"88,650",314.4,11.7 ( 1 ),6.2 ( 3 ),6.4
16. Tule,33,1.6,12.6,"11,529",137.6,2.3 ( 1 ),NA,1.1
17. Kern,62,5.3,35.7,"476,622","1,682.80",11.5 ( 5 ),10.2 ( 11 ),3.6
18. Truckee,59,6.6,75.7,"149,541",425.4,9.7 ( 6 ),9.5 ( 1 ),9.2
19. Tahoe,36,4.1,41.3,"111,323",508.3,9.0 ( 7 ),10.0 ( 2 ),7.6
20. W Carson,70,9.1,87.4,"31,677",65.3,12.3 ( 3 ),NA,11.9
21. E Carson,71,6.6,80.7,"124,993",355.2,7.7 ( 4 ),NA,7.4
22. W Walker,68,8.4,89.8,"80,908",179.8,13.1 ( 4 ),12.5 ( 1 ),10.6
23. E Walker,47,3.1,86.5,"59,253",356.3,9.9 ( 1 ),NA,5.3
24. Mono,39,1.7,66,"98,196","1,085.80",NA,16.8 ( 4 ),4.5
25. Upper Owens,72,4.7,80.2,"96,195",382.7,13.2 ( 1 ),20.0 ( 1 ),9.4
26. Owens,69,2.5,29,"233,396","1,772.90",8.7 ( 4 ),12.4 ( 4 ),2.2
