,3/15/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026,3/22/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026
Basin,%3/15 Avg.,%3/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
0. Trinity,17,9,3.8,2.3,33.6,"40,278",321.4,3.9 ( 6 ),1.5 ( 7 ),0.5
1. Upper Sacramento,19,10,4,2.6,35.9,"15,889",115.2,6.4 ( 2 ),4.1 ( 2 ),3.2
2. McCloud,20,12,3.9,2.8,42.5,"24,788",164.9,6.2 ( 1 ),1.0 ( 1 ),7.6
3. Pit,14,8,1,0.5,6.8,"57,707","2,086.20",5.3 ( 5 ),2.0 ( 5 ),0.3
4. Sacramento at Bend Bridge,13,6,1.7,0.9,11.6,"12,005",240,NA,NA,1.1
5. Feather§,17,6,2.1,0.9,13.1,"99,901","2,117.50",6.9 ( 6 ),1.2 ( 7 ),1.5
6. Yuba§,29,14,5.5,2.7,34.1,"75,765",525.6,15.8 ( 4 ),10.0 ( 4 ),2.7
7. American,31,15,6.3,2.9,32.3,"126,310",807,9.1 ( 12 ),5.4 ( 12 ),3
8. Cosumnes,14,6,1.8,0.7,8.8,"3,399",91.9,NA,NA,0.5
9. Mokelumne,42,22,8.3,4.3,44.3,"72,605",317.9,15.4 ( 3 ),10.5 ( 3 ),4.6
10. Stanislaus,45,24,8.8,4.5,43.4,"136,598",562.9,20.2 ( 4 ),16.3 ( 4 ),4.5
11. Tuolumne,52,28,10.5,5.7,47.1,"277,988",915,15.2 ( 7 ),12.5 ( 8 ),9.1
12. Merced,56,31,10.3,5.8,51.8,"166,919",539.4,24.9 ( 1 ),17.7 ( 2 ),11.4
13. San Joaquin,60,33,11.4,6.4,50.9,"417,160","1,225.40",13.0 ( 7 ),7.8 ( 7 ),10.9
14. Kings§,65,37,12.6,7.2,48.9,"467,342","1,213.40",18.9 ( 7 ),14.5 ( 6 ),11.7
15. Kaweah,53,27,7.4,3.8,26.8,"63,589",314.4,9.6 ( 2 ),0.0 ( 1 ),5.6
16. Tule,24,7,1.7,0.5,3.6,"3,484",137.6,0.1 ( 1 ),0.0 ( 1 ),0.2
17. Kern§,56,29,3.5,2,20,"183,204","1,682.80",17.8 ( 4 ),11.1 ( 5 ),2.6
18. Truckee§,33,15,4.2,2.1,30.2,"46,624",425.4,10.3 ( 6 ),6.3 ( 6 ),4.4
19. Tahoe§,22,12,2.9,1.5,21.2,"42,009",508.3,9.0 ( 7 ),4.5 ( 7 ),3.7
20. W Carson§,50,31,7.5,4.5,59.4,"15,596",65.3,15.0 ( 3 ),10.7 ( 3 ),4.8
21. E Carson§,45,26,4.7,2.6,33.8,"48,941",355.2,8.9 ( 4 ),5.5 ( 4 ),3.1
22. W Walker,59,35,11.2,6.6,55.8,"63,230",179.8,14.7 ( 4 ),12.8 ( 4 ),9.3
23. E Walker,40,26,4.2,2.6,30.7,"49,983",356.3,13.0 ( 1 ),10.6 ( 1 ),3
24. Mono,40,27,2.2,1.5,19,"84,108","1,085.80",NA,NA,1.5
25. Upper Owens,52,33,5.6,3.5,36,"71,566",382.7,27.4 ( 1 ),24.8 ( 1 ),2.5
26. Owens,62,43,3,2.2,18.2,"207,333","1,772.90",12.2 ( 4 ),8.9 ( 4 ),1.5
