,3/22/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026
Basin,%3/22 Avg.,%4/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
0. Trinity,9,4,2.3,1.3,22.9,"22,663",321.4,1.5 ( 7 ),0.2 ( 7 ),1.8 ( 8 ),0.1
1. Upper Sacramento,10,5,2.6,1.5,24.2,"8,990",115.2,4.1 ( 2 ),0.9 ( 2 ),10.0 ( 5 ),2.6
2. McCloud,12,7,2.8,1.7,32.9,"15,075",164.9,1.0 ( 1 ),0.0 ( 1 ),0.8 ( 3 ),5.3
3. Pit,8,5,0.5,0.3,4,"31,053","2,086.20",2.0 ( 5 ),0.7 ( 5 ),0.2 ( 3 ),0.1
4. Sacramento at Bend Bridge,6,3,0.9,0.5,8.4,"6,926",240,NA,NA,0.0 ( 1 ),0.4
5. Feather§,6,2,0.9,0.2,5.5,"18,312","2,117.50",1.2 ( 7 ),0.0 ( 7 ),0.5 ( 23 ),0.4
6. Yuba§,14,6,2.7,1.5,19.2,"40,725",525.6,10.0 ( 4 ),5.0 ( 4 ),5.4 ( 17 ),1.2
7. American§,15,7,2.9,1.8,18.7,"76,759",807,5.4 ( 12 ),4.5 ( 13 ),1.3 ( 19 ),1.8
8. Cosumnes,6,2,0.7,0.2,4.2,"1,101",91.9,NA,NA,NA,0.2
9. Mokelumne,22,12,4.3,2.4,30.3,"41,198",317.9,10.5 ( 3 ),8.4 ( 3 ),5.9 ( 11 ),2.8
10. Stanislaus,24,11,4.5,2.4,27.8,"71,646",562.9,16.3 ( 4 ),10.7 ( 4 ),5.3 ( 12 ),2.9
11. Tuolumne,28,15,5.7,3.5,36.5,"170,822",915,12.5 ( 8 ),7.8 ( 8 ),8.8 ( 17 ),7.2
12. Merced§,31,16,5.8,3.2,37.6,"91,696",539.4,17.7 ( 2 ),10.7 ( 2 ),10.8 ( 5 ),8.2
13. San Joaquin,33,17,6.4,3.8,40.4,"251,368","1,225.40",7.8 ( 7 ),3.5 ( 7 ),10.3 ( 26 ),7.6
14. Kings§,37,20,7.2,4.9,43.2,"319,003","1,213.40",14.5 ( 6 ),10.6 ( 6 ),12.6 ( 22 ),8.2
15. Kaweah,27,14,3.8,2.1,21.2,"35,743",314.4,0.0 ( 1 ),0.0 ( 1 ),5.7 ( 5 ),3.1
16. Tule,7,2,0.5,0.2,2,"1,268",137.6,0.0 ( 1 ),0.0 ( 1 ),0.0 ( 2 ),0.1
17. Kern,29,13,2,1.5,14.1,"135,889","1,682.80",11.1 ( 5 ),5.4 ( 5 ),4.8 ( 15 ),1.8
18. Truckee§,15,6,2.1,1.6,15.6,"35,506",425.4,6.3 ( 6 ),4.0 ( 6 ),8.5 ( 2 ),2.1
19. Tahoe§,12,5,1.5,1.4,12.3,"37,823",508.3,4.5 ( 7 ),1.0 ( 7 ),2.5 ( 7 ),1.8
20. W Carson§,31,13,4.5,2.5,33,"8,573",65.3,10.7 ( 3 ),5.9 ( 3 ),2.0 ( 1 ),2.4
21. E Carson§,26,13,2.6,1.4,21.2,"27,295",355.2,5.5 ( 4 ),1.6 ( 4 ),NA,1.8
22. W Walker,35,20,6.6,4.1,43.6,"39,496",179.8,12.8 ( 4 ),10.8 ( 4 ),2.0 ( 2 ),7.4
23. E Walker,26,16,2.6,1.3,19.4,"25,551",356.3,10.6 ( 1 ),7.0 ( 1 ),5.0 ( 1 ),2.2
24. Mono,27,16,1.5,0.8,11.7,"45,707","1,085.80",NA,NA,17.4 ( 4 ),1.2
25. Upper Owens,33,16,3.5,1.8,24.8,"36,080",382.7,24.8 ( 1 ),18.0 ( 1 ),16.5 ( 1 ),1.1
26. Owens,43,25,2.2,1.3,14.3,"121,132","1,772.90",8.9 ( 4 ),4.0 ( 4 ),4.7 ( 8 ),1.1
