,,3/22/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026
Basin,Elevation Band,%3/22 Avg.,%4/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
0. Trinity,"5,000-6,000'",3,1,0.6,0.2,5.4,"1,581",152.3,0.0 ( 2 ),0.0 ( 2 ),0.0 ( 2 ),0
0. Trinity,"6,000-7,000'",11,5,3.3,1.8,33.9,"12,723",133,2.1 ( 5 ),0.3 ( 5 ),1.2 ( 4 ),0.1
0. Trinity,"7,000-8,000'",18,10,6.3,4.3,56.5,"7,972",35.1,NA,NA,4.8 ( 2 ),0.1
0. Trinity,"8,000-9,000'",23,14,9.6,7.5,66.4,387,1,NA,NA,NA,0.1
1. Upper Sacramento,"5,000-6,000'",4,1,0.9,0.3,6.4,883,64.1,0.0 ( 1 ),0.0 ( 1 ),0.0 ( 1 ),0
1. Upper Sacramento,"6,000-7,000'",12,6,3.4,1.9,38.5,"3,628",36.2,8.3 ( 1 ),1.7 ( 1 ),12.0 ( 2 ),0.5
1. Upper Sacramento,"7,000-8,000'",17,10,6,3.7,55.7,"1,713",8.8,NA,NA,13.0 ( 2 ),7.8
1. Upper Sacramento,"8,000-9,000'",18,12,7.2,5,71.6,616,2.3,NA,NA,NA,22.7
1. Upper Sacramento,"9,000-10,000'",24,15,10.8,8.1,83.9,747,1.7,NA,NA,NA,42.4
1. Upper Sacramento,"10,000-11,000'",30,18,14.7,11.6,86.1,537,0.9,NA,NA,NA,44.5
1. Upper Sacramento,">11,000'",31,19,17.4,14,85.8,866,1.2,NA,NA,NA,39.3
2. McCloud,"5,000-6,000'",5,2,0.9,0.3,9.3,"1,554",96.8,1.0 ( 1 ),0.0 ( 1 ),0.0 ( 2 ),0
2. McCloud,"6,000-7,000'",15,8,3.9,2.3,54,"5,105",41.7,NA,NA,2.5 ( 1 ),1.9
2. McCloud,"7,000-8,000'",18,11,6.2,4.2,81.3,"3,198",14.2,NA,NA,NA,14.9
2. McCloud,"8,000-9,000'",22,13,8,5.7,80.9,"1,969",6.5,NA,NA,NA,35.9
2. McCloud,"9,000-10,000'",26,16,10.3,7.8,83.3,"1,290",3.1,NA,NA,NA,44
2. McCloud,"10,000-11,000'",28,17,13.5,10.5,90.9,812,1.4,NA,NA,NA,56
2. McCloud,">11,000'",35,21,22.4,18.6,93.7,"1,148",1.2,NA,NA,NA,51.1
3. Pit,"5,000-6,000'",0,0,0,0,0.1,143,"1,428.20",1.0 ( 1 ),0.3 ( 1 ),NA,0
3. Pit,"6,000-7,000'",7,4,0.8,0.4,7.2,"10,789",507.2,3.8 ( 2 ),1.4 ( 2 ),0.0 ( 2 ),0.1
3. Pit,"7,000-8,000'",18,9,3.4,1.7,25.9,"11,771",129.4,0.7 ( 2 ),0.2 ( 2 ),0.5 ( 1 ),0.6
3. Pit,"8,000-9,000'",40,30,9.1,7,58.1,"7,220",19.4,NA,NA,NA,1.7
3. Pit,">9,000'",46,38,13.2,11,72.2,"1,130",1.9,NA,NA,NA,8.3
4. Sacramento at Bend Bridge,"5,000-6,000'",0,0,0,0,0,0,156.3,NA,NA,0.0 ( 1 ),0
4. Sacramento at Bend Bridge,"6,000-7,000'",7,3,1.3,0.6,11.7,"1,855",63.1,NA,NA,NA,0.2
4. Sacramento at Bend Bridge,"7,000-8,000'",22,13,6.4,4.1,62.9,"3,451",15.6,NA,NA,NA,3.4
4. Sacramento at Bend Bridge,"8,000-9,000'",24,15,8.3,6,56.5,"1,398",4.3,NA,NA,NA,7.8
4. Sacramento at Bend Bridge,">9,000'",25,17,9.5,7.2,77.7,222,0.6,NA,NA,NA,15.8
5. Feather§,"5,000-6,000'",1,0,0.1,0,0.4,215,"1,257.10",0.0 ( 1 ),0.0 ( 1 ),0.2 ( 12 ),0.2
5. Feather§,"6,000-7,000'",9,3,1.6,0.2,9.4,"7,011",732.9,1.7 ( 5 ),0.0 ( 5 ),0.6 ( 9 ),0.6
5. Feather§,"7,000-8,000'",20,8,4.4,1.4,33.2,"9,236",122.6,0.2 ( 1 ),0.0 ( 1 ),1.8 ( 2 ),1.2
5. Feather§,"8,000-9,000'",29,17,8.1,7.2,63,"1,850",4.8,NA,NA,NA,5.7
6. Yuba§,"5,000-6,000'",0,0,0,0,0.1,28,193.5,NA,NA,1.0 ( 5 ),0.2
6. Yuba§,"6,000-7,000'",13,5,2.4,1,18.6,"11,263",213.6,10.0 ( 4 ),5.0 ( 4 ),4.5 ( 7 ),0.9
6. Yuba§,"7,000-8,000'",25,13,7.3,4.4,51.2,"26,557",113.1,NA,NA,10.9 ( 5 ),2.6
6. Yuba§,"8,000-9,000'",27,17,12.1,10.2,65,"2,876",5.3,NA,NA,NA,12.7
