,,4/19/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026,4/26/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026
Basin,Elevation Band,%4/19 Avg.,%4/26 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
0. Trinity,"5,000-6,000'",2,1,0.2,0.3,11,"2,332",152.3,0.0 ( 1 ),0.2 ( 1 ),0.6
0. Trinity,"6,000-7,000'",9,7,2,2.3,60.7,"16,450",133,0.5 ( 5 ),0.8 ( 5 ),2
0. Trinity,"7,000-8,000'",12,21,4.8,8.1,85.9,"15,208",35.1,NA,NA,3.6
0. Trinity,"8,000-9,000'",11,51,9.9,25.3,83,"1,305",1,NA,NA,4.3
1. Upper Sacramento,"5,000-6,000'",2,2,0.2,0.4,16.3,"1,304",64.1,0.6 ( 1 ),0.7 ( 1 ),0.2
1. Upper Sacramento,"6,000-7,000'",9,9,2,2,61.5,"3,901",36.2,1.0 ( 1 ),0.3 ( 1 ),1.4
1. Upper Sacramento,"7,000-8,000'",14,18,4.3,6.9,82.1,"3,249",8.8,NA,NA,8.7
1. Upper Sacramento,"8,000-9,000'",14,39,6.3,16.9,82.4,"2,085",2.3,NA,NA,25.7
1. Upper Sacramento,"9,000-10,000'",11,70,7,37,89.7,"3,425",1.7,NA,NA,47.7
1. Upper Sacramento,"10,000-11,000'",9,108,10.4,68.8,90,"3,188",0.9,NA,NA,50.1
1. Upper Sacramento,">11,000'",8,127,17.3,91.4,84.2,"5,647",1.2,NA,NA,43.8
2. McCloud,"5,000-6,000'",0,0,0,0,0.7,94,96.8,0.0 ( 1 ),0.3 ( 1 ),0.1
2. McCloud,"6,000-7,000'",10,11,2,2.7,49.3,"5,926",41.7,NA,NA,2
2. McCloud,"7,000-8,000'",14,34,5.6,12.7,90.6,"9,648",14.2,NA,NA,17.1
2. McCloud,"8,000-9,000'",14,58,7,23,89.3,"7,920",6.5,NA,NA,40.5
2. McCloud,"9,000-10,000'",12,73,6.6,34,94.3,"5,602",3.1,NA,NA,49.7
2. McCloud,"10,000-11,000'",10,91,8,53.1,98.3,"4,102",1.4,NA,NA,62.4
2. McCloud,">11,000'",7,99,21.6,83.4,96.7,"5,151",1.2,NA,NA,55.9
3. Pit,"5,000-6,000'",0,0,0,0,0,0,"1,428.20",0.0 ( 1 ),0.3 ( 1 ),0
3. Pit,"6,000-7,000'",7,7,0.6,0.4,7,"11,452",507.2,1.2 ( 2 ),0.8 ( 2 ),0.1
3. Pit,"7,000-8,000'",16,21,3.2,3.2,34.7,"21,868",129.4,0.1 ( 2 ),0.3 ( 2 ),1.2
3. Pit,"8,000-9,000'",50,54,11.7,11.9,79.3,"12,329",19.4,NA,NA,2.8
3. Pit,">9,000'",52,66,16,20.3,80.3,"2,088",1.9,NA,NA,11
4. Sacramento at Bend Bridge,"5,000-6,000'",0,0,0,0,0.1,35,156.3,NA,NA,0.2
4. Sacramento at Bend Bridge,"6,000-7,000'",5,5,0.8,1.1,21.7,"3,553",63.1,NA,NA,1.6
4. Sacramento at Bend Bridge,"7,000-8,000'",14,32,6.1,10.9,89.9,"9,102",15.6,NA,NA,6.2
4. Sacramento at Bend Bridge,"8,000-9,000'",12,62,9.4,27.6,82.9,"6,383",4.3,NA,NA,12.2
4. Sacramento at Bend Bridge,">9,000'",11,60,9.5,26.8,75.5,828,0.6,NA,NA,20.8
5. Feather§,"5,000-6,000'",1,1,0,0,1.5,"1,336","1,257.10",0.0 ( 1 ),0.1 ( 1 ),0.1
5. Feather§,"6,000-7,000'",6,8,0.3,0.3,19.2,"10,680",732.9,0.6 ( 4 ),0.4 ( 3 ),0.5
5. Feather§,"7,000-8,000'",11,20,2.1,3,52.4,"19,565",122.6,0.0 ( 1 ),NA,1.8
5. Feather§,"8,000-9,000'",12,43,9.6,28.2,59.1,"7,269",4.8,NA,NA,7
6. Yuba,"5,000-6,000'",5,3,0.2,0.3,11.7,"2,875",193.5,NA,NA,0
6. Yuba,"6,000-7,000'",13,14,2.9,2.5,64.8,"28,030",213.6,4.7 ( 4 ),3.5 ( 4 ),0.6
6. Yuba,"7,000-8,000'",14,32,5.9,8.8,82,"53,332",113.1,NA,NA,3.2
6. Yuba,"8,000-9,000'",13,58,8.3,22,74.5,"6,239",5.3,NA,NA,16.5
7. American,"5,000-6,000'",10,7,0.2,0.4,18.2,"6,724",294.8,0.0 ( 2 ),0.0 ( 3 ),0
7. American,"6,000-7,000'",16,16,1.9,2.1,69.8,"30,322",267.6,4.1 ( 1 ),1.7 ( 2 ),0.5
7. American,"7,000-8,000'",15,28,3.9,6.3,85.2,"56,199",168.1,1.3 ( 3 ),0.6 ( 4 ),3.8
7. American,"8,000-9,000'",13,52,11.9,16.5,79.8,"60,941",69.1,13.8 ( 2 ),17.6 ( 3 ),10.2
7. American,"9,000-10,000'",12,64,25.1,25.1,65.7,"9,960",7.4,NA,NA,13.6
8. Cosumnes,"5,000-6,000'",2,1,0,0.1,2.2,161,60.5,NA,NA,0
8. Cosumnes,"6,000-7,000'",20,14,1.3,1.8,69.8,"2,287",23.7,NA,NA,0.8
8. Cosumnes,"7,000-8,000'",17,19,4.4,3.3,96.8,"1,354",7.6,NA,NA,2.2
9. Mokelumne,"5,000-6,000'",2,1,0,0,1.4,126,82.5,NA,NA,0
