,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
1. Bear,54,4,55.2,"1,345,187","6,323.40",7.4 ( 18 ),10.3 ( 1 ),3.1
2. Beaver,22,0.6,10.6,"28,413",835.5,4.8 ( 2 ),NA,0.6
3. Blue,53,3.9,58.2,"142,772",683.9,5.2 ( 5 ),NA,3.5
4. Canadian,11,0.3,9.5,"20,050","1,265.80",2.9 ( 2 ),NA,0.3
5. Colorado Headwaters,50,3.5,56.6,"543,912","2,906.10",5.5 ( 13 ),NA,3.2
6. Colorado Headwaters-Plateau,42,2.8,48,"274,170","1,813.00",4.2 ( 1 ),NA,1.5
7. Eagle,38,2.7,39.9,"132,721",918,4.1 ( 3 ),NA,3.3
8. Gila,15,0.1,3.8,"25,721","4,926.30",0.9 ( 6 ),3.4 ( 1 ),0.1
9. Gunnison,47,3.3,67.1,"1,125,384","6,459.70",5.0 ( 11 ),NA,3
10. Little Colorado,4,0.1,2.7,"48,833","16,398.00",2.3 ( 5 ),NA,0
11. Lower Colorado Mainstream,4,0,1.1,"26,426","10,697.40",2.6 ( 5 ),NA,0
12. Lower Green,38,2.5,32.1,"752,635","5,693.80",4.4 ( 24 ),NA,2.1
13. Lower Rio Grande,25,0.6,19.4,"55,669","1,796.70",2.5 ( 6 ),NA,0.2
14. Lower Sevier,13,0.6,11.6,"29,405",906.4,2.6 ( 4 ),NA,0.8
15. Pecos,37,1.3,32.9,"22,527",332.1,2.2 ( 2 ),NA,1.8
16. Provo-Utah Lake-Jordan,28,1.8,24.8,"260,057","2,694.10",6.2 ( 18 ),NA,2.1
17. Rio Chama-Upper Rio Grande,19,0.7,26.2,"186,603","5,227.90",3.3 ( 13 ),NA,1
18. Rio Grande Headwaters,29,1.2,21.3,"499,789","7,613.30",3.9 ( 14 ),NA,1.1
19. Roaring Fork,47,4,61.8,"289,843","1,360.30",5.6 ( 7 ),NA,4.2
20. Salt,13,0.2,9.7,"31,291","2,360.60",1.2 ( 8 ),NA,0.4
21. San Juan**,22,1.1,21.4,"359,205","6,425.50",4.4 ( 15 ),NA,1.1
22. San Pitch,23,1.3,19.9,"60,112",859.5,4.7 ( 6 ),NA,1.1
23. South Platte,25,0.9,15.1,"279,184","5,641.90",4.6 ( 21 ),2.0 ( 1 ),0.9
24. Southwestern Utah,12,0.2,4.4,"18,448","1,446.90",1.5 ( 5 ),NA,0.2
25. Toole Valley-Vernon Creek,12,0.4,5,"18,216",902.1,2.5 ( 4 ),NA,0.3
26. Upper Arkansas,29,0.9,16.7,"286,432","5,892.20",2.8 ( 7 ),NA,0.5
27. Upper Colorado-Dirty Devil,22,0.9,14.2,"128,951","2,608.00",2.8 ( 7 ),9.2 ( 1 ),1.3
28. Upper Colorado-Dolores,37,2.1,53.6,"387,230","3,453.30",5.3 ( 9 ),NA,1.7
29. Upper Sevier,21,1,18.9,"207,025","3,767.80",3.1 ( 16 ),NA,1
30. Verde,0,0,0.1,245,"1,820.70",0.7 ( 7 ),NA,0
31. Weber-Ogden,35,2.7,37,"290,640","2,046.60",5.7 ( 17 ),NA,2.4
32. White-Yampa,51,3.6,57.2,"1,155,312","5,952.40",8.0 ( 15 ),12.0 ( 1 ),2.6
33. Animas,37,2.6,36.8,"128,440",922.5,4.8 ( 6 ),NA,2.7
