,,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
1. Bear,"5,000-6,000'",24,1.3,27.5,"90,824","1,268.90",NA,NA,0.9
1. Bear,"6,000-7,000'",47,3.3,53.4,"439,814","2,464.70",2.5 ( 3 ),NA,1.7
1. Bear,"7,000-8,000'",63,5,63.9,"481,163","1,789.30",6.7 ( 6 ),NA,4
1. Bear,"8,000-9,000'",79,7.7,87.9,"240,667",585.8,10.6 ( 7 ),10.3 ( 1 ),9
1. Bear,"9,000-10,000'",82,8.1,79.1,"58,875",136.8,5.4 ( 2 ),NA,8.4
1. Bear,"10,000-11,000'",73,7.9,75,"25,900",61.1,NA,NA,8
1. Bear,"11,000-12,000'",74,8.9,83,"7,448",15.7,NA,NA,5.3
1. Bear,"12,000-13,000'",72,8.8,77.9,496,1.1,NA,NA,3.4
2. Beaver,"6,000-7,000'",0,0,0.2,139,479.9,NA,NA,0
2. Beaver,"7,000-8,000'",4,0.2,5,"1,850",180.6,NA,NA,0.1
2. Beaver,"8,000-9,000'",21,1.1,23.3,"4,299",75.9,3.2 ( 1 ),NA,1
2. Beaver,"9,000-10,000'",53,3.4,57.1,"11,908",66.3,NA,NA,3.2
2. Beaver,"10,000-11,000'",66,5.5,67,"8,032",27.4,6.3 ( 1 ),NA,5.3
2. Beaver,"11,000-12,000'",65,7.6,87.5,"2,184",5.4,NA,NA,6.6
3. Blue,"7,000-8,000'",12,0.7,8.8,"1,192",32.9,NA,NA,1.5
3. Blue,"8,000-9,000'",41,2.6,49.3,"13,911",101.8,NA,NA,2.2
3. Blue,"9,000-10,000'",45,2.9,58,"22,931",150.2,3.6 ( 1 ),NA,3
3. Blue,"10,000-11,000'",47,2.9,48.2,"24,726",162.3,5.9 ( 2 ),NA,4.2
3. Blue,"11,000-12,000'",63,5.9,74,"51,703",163.9,5.3 ( 2 ),NA,4.6
3. Blue,"12,000-13,000'",67,7.3,80.4,"25,655",66.3,NA,NA,3.5
3. Blue,">13,000'",67,7.7,75,"2,652",6.5,NA,NA,2.1
4. Canadian,"8,000-9,000'",6,0.1,5.6,"4,858",737,NA,NA,0
4. Canadian,"9,000-10,000'",9,0.3,11,"5,791",360.3,NA,NA,0.4
4. Canadian,"10,000-11,000'",18,0.7,18.4,"5,098",137.3,2.9 ( 2 ),NA,0.9
4. Canadian,"11,000-12,000'",42,2.4,41.5,"3,617",28.8,NA,NA,1.4
4. Canadian,"12,000-13,000'",61,5.1,72.8,687,2.5,NA,NA,0.8
5. Colorado Headwaters,"5,000-6,000'",0,0,0,0,0.8,NA,NA,0
5. Colorado Headwaters,"6,000-7,000'",0,0,0.4,67,86.6,NA,NA,0.1
5. Colorado Headwaters,"7,000-8,000'",10,0.6,9.7,"13,136",434.1,NA,NA,1
5. Colorado Headwaters,"8,000-9,000'",44,3.1,56.3,"141,420",857.3,3.0 ( 3 ),NA,2.1
5. Colorado Headwaters,"9,000-10,000'",61,4.1,73.5,"181,597",826.9,4.1 ( 3 ),NA,3.9
5. Colorado Headwaters,"10,000-11,000'",62,4.8,69.8,"117,481",456.5,7.3 ( 5 ),NA,5.8
5. Colorado Headwaters,"11,000-12,000'",69,6.9,79.2,"77,737",212.2,6.9 ( 1 ),NA,5.1
5. Colorado Headwaters,">12,000'",72,7.4,75.1,"12,474",31.8,NA,NA,3.8
