,,2/15/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026,2/22/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026
Basin,Elevation Band,%2/15 Avg.,%2/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Bear,"5,000-6,000'",9,23,0.4,1.4,37.1,"97,102","1,268.90",NA,NA,1.2
1. Bear,"6,000-7,000'",42,48,3.1,3.9,58.4,"507,164","2,464.70",2.5 ( 3 ),4.0 ( 3 ),2.7
1. Bear,"7,000-8,000'",55,64,5.1,6.2,75.6,"594,935","1,789.30",8.4 ( 5 ),8.6 ( 6 ),5.3
1. Bear,"8,000-9,000'",72,81,8.3,9.9,95.1,"308,385",585.8,11.8 ( 7 ),14.1 ( 7 ),11.7
1. Bear,"9,000-10,000'",75,87,8.8,10.8,90.5,"78,960",136.8,5.9 ( 2 ),7.6 ( 2 ),11.1
1. Bear,"10,000-11,000'",66,78,8.6,10.7,86.6,"34,975",61.1,NA,NA,11.7
1. Bear,"11,000-12,000'",66,78,9.5,11.8,78.1,"9,896",15.7,NA,NA,8.8
1. Bear,"12,000-13,000'",64,77,9.3,11.9,80.7,675,1.1,NA,NA,6.6
2. Beaver,"6,000-7,000'",0,3,0,0.1,7.8,"3,332",479.9,NA,NA,0.8
2. Beaver,"7,000-8,000'",0,8,0,0.4,13.6,"3,833",180.6,NA,NA,1.1
2. Beaver,"8,000-9,000'",11,17,0.5,1,14.4,"4,086",75.9,NA,3.0 ( 1 ),2.4
2. Beaver,"9,000-10,000'",40,57,2.9,4.5,48.6,"15,994",66.3,NA,NA,5.6
2. Beaver,"10,000-11,000'",55,71,5.5,7.4,69.3,"10,792",27.4,6.3 ( 1 ),8.4 ( 1 ),7.9
2. Beaver,"11,000-12,000'",59,70,8.1,10.1,91.9,"2,916",5.4,NA,NA,9.1
3. Blue,"7,000-8,000'",5,5,0.3,0.3,3.9,549,32.9,NA,NA,1.3
3. Blue,"8,000-9,000'",42,40,2.9,3.1,56.4,"17,009",101.8,NA,NA,3
3. Blue,"9,000-10,000'",46,52,3.2,4.2,63.8,"33,901",150.2,4.0 ( 1 ),4.5 ( 1 ),4.5
3. Blue,"10,000-11,000'",46,57,3.3,4.6,59,"39,907",162.3,6.6 ( 2 ),8.0 ( 2 ),6.1
3. Blue,"11,000-12,000'",60,66,6.5,8.1,83.1,"70,543",163.9,5.7 ( 2 ),6.3 ( 2 ),6.5
3. Blue,"12,000-13,000'",62,70,7.9,9.9,87.8,"34,976",66.3,NA,NA,4.9
3. Blue,">13,000'",61,68,8.3,10.2,76.7,"3,503",6.5,NA,NA,3.1
4. Canadian,"8,000-9,000'",0,1,0,0,1.5,781,737,NA,NA,0.1
4. Canadian,"9,000-10,000'",2,6,0.1,0.2,9.5,"4,679",360.3,NA,NA,0.6
4. Canadian,"10,000-11,000'",8,12,0.4,0.6,14.8,"4,415",137.3,3.2 ( 2 ),4.4 ( 2 ),1.9
4. Canadian,"11,000-12,000'",32,36,2.1,2.6,42.4,"4,035",28.8,NA,NA,2.6
4. Canadian,"12,000-13,000'",56,53,5.6,5.8,84,776,2.5,NA,NA,2.2
5. Colorado Headwaters,"5,000-6,000'",0,0,0,0,0,0,0.8,NA,NA,0.1
5. Colorado Headwaters,"6,000-7,000'",0,1,0,0,0.7,97,86.6,NA,NA,0.5
5. Colorado Headwaters,"7,000-8,000'",7,6,0.4,0.4,7.3,"9,682",434.1,NA,NA,1.3
5. Colorado Headwaters,"8,000-9,000'",42,42,3.2,3.7,59.1,"169,589",857.3,3.6 ( 3 ),3.9 ( 3 ),2.9
5. Colorado Headwaters,"9,000-10,000'",58,67,4.6,5.9,81.7,"261,999",826.9,4.9 ( 3 ),5.6 ( 3 ),5.7
5. Colorado Headwaters,"10,000-11,000'",58,72,5.4,7.3,80.1,"177,437",456.5,8.2 ( 5 ),9.1 ( 5 ),8.5
5. Colorado Headwaters,"11,000-12,000'",65,75,7.5,9.5,87.8,"107,770",212.2,7.3 ( 1 ),8.0 ( 1 ),7.3
5. Colorado Headwaters,">12,000'",67,73,8,9.7,80.3,"16,371",31.8,NA,NA,5.3
6. Colorado Headwaters-Plateau,"7,000-8,000'",5,6,0.3,0.4,7.4,"13,523",700.2,NA,NA,0.6
6. Colorado Headwaters-Plateau,"8,000-9,000'",38,38,3,3.3,52.1,"114,066",643.2,NA,NA,2
