,,2/22/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026
Basin,Elevation Band,%2/22 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Bear,"5,000-6,000'",23,26,1.4,1.6,41.5,"110,554","1,268.90",NA,NA,NA,0.4
1. Bear,"6,000-7,000'",48,44,3.9,3.6,46.4,"473,057","2,464.70",4.0 ( 3 ),3.0 ( 3 ),3.9 ( 2 ),1.8
1. Bear,"7,000-8,000'",64,63,6.2,6.5,69.3,"622,973","1,789.30",8.6 ( 6 ),9.6 ( 6 ),NA,5.4
1. Bear,"8,000-9,000'",81,82,9.9,11,95.5,"342,790",585.8,14.1 ( 7 ),15.6 ( 7 ),NA,12.9
1. Bear,"9,000-10,000'",87,87,10.8,11.9,92.9,"86,568",136.8,7.6 ( 2 ),8.4 ( 2 ),NA,12.2
1. Bear,"10,000-11,000'",78,78,10.7,11.9,89.5,"38,681",61.1,NA,NA,NA,12.8
1. Bear,"11,000-12,000'",78,78,11.8,12.9,84.6,"10,857",15.7,NA,NA,NA,9.5
1. Bear,"12,000-13,000'",77,79,11.9,13,83.5,738,1.1,NA,NA,NA,6.4
2. Beaver,"6,000-7,000'",3,6,0.1,0.2,19.5,"4,938",479.9,NA,NA,NA,0
2. Beaver,"7,000-8,000'",8,15,0.4,0.7,30.8,"7,126",180.6,NA,NA,NA,0
2. Beaver,"8,000-9,000'",17,38,1,2.3,46,"9,296",75.9,3.0 ( 1 ),5.1 ( 1 ),NA,1.7
2. Beaver,"9,000-10,000'",57,67,4.5,5.9,71.8,"20,756",66.3,NA,NA,NA,5.9
2. Beaver,"10,000-11,000'",71,71,7.4,8.5,78.2,"12,375",27.4,8.4 ( 1 ),8.5 ( 1 ),NA,8.6
2. Beaver,"11,000-12,000'",70,64,10.1,10.1,66.6,"2,906",5.4,NA,NA,NA,9.9
3. Blue,"7,000-8,000'",5,4,0.3,0.3,3.8,487,32.9,NA,NA,NA,0.2
3. Blue,"8,000-9,000'",40,44,3.1,3.3,49.2,"17,984",101.8,NA,NA,NA,2.1
3. Blue,"9,000-10,000'",52,60,4.2,5,60.3,"40,057",150.2,4.5 ( 1 ),5.4 ( 1 ),NA,4.5
3. Blue,"10,000-11,000'",57,66,4.6,5.6,60.4,"48,333",162.3,8.0 ( 2 ),9.3 ( 2 ),5.8 ( 2 ),6.4
3. Blue,"11,000-12,000'",66,72,8.1,9.2,81.3,"80,113",163.9,6.3 ( 2 ),7.4 ( 2 ),NA,6.6
3. Blue,"12,000-13,000'",70,74,9.9,11,89.9,"39,052",66.3,NA,NA,NA,4.5
3. Blue,">13,000'",68,71,10.2,11.2,89.8,"3,862",6.5,NA,NA,NA,2.3
4. Canadian,"8,000-9,000'",1,0,0,0,0,3,737,NA,NA,NA,0
4. Canadian,"9,000-10,000'",6,1,0.2,0,1.1,701,360.3,NA,NA,0.9 ( 2 ),0.1
4. Canadian,"10,000-11,000'",12,10,0.6,0.5,10.8,"3,358",137.3,4.4 ( 2 ),3.6 ( 2 ),NA,0.9
4. Canadian,"11,000-12,000'",36,35,2.6,2.6,39.3,"3,919",28.8,NA,NA,NA,2.3
4. Canadian,"12,000-13,000'",53,52,5.8,5.4,62.6,723,2.5,NA,NA,NA,1.6
5. Colorado Headwaters,"5,000-6,000'",0,15,0,0.3,12.5,11,0.8,NA,NA,NA,0
5. Colorado Headwaters,"6,000-7,000'",1,8,0,0.2,6.4,910,86.6,NA,NA,NA,0
5. Colorado Headwaters,"7,000-8,000'",6,11,0.4,0.6,14.6,"15,004",434.1,NA,NA,NA,0.4
5. Colorado Headwaters,"8,000-9,000'",42,46,3.7,4,57,"180,973",857.3,3.9 ( 3 ),4.3 ( 3 ),4.2 ( 1 ),2.4
5. Colorado Headwaters,"9,000-10,000'",67,72,5.9,6.7,78.9,"293,388",826.9,5.6 ( 3 ),6.5 ( 3 ),5.2 ( 6 ),5.8
5. Colorado Headwaters,"10,000-11,000'",72,77,7.3,8.4,76.8,"205,147",456.5,9.1 ( 5 ),10.5 ( 5 ),7.1 ( 2 ),9.1
