,3/8/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026,3/15/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026
Basin,%3/8 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Bear,62,51,5.9,4.3,40.4,"1,460,349","6,323.40",12.1 ( 18 ),11.5 ( 18 ),3.5
2. Beaver,35,30,1.1,0.8,7.2,"34,460",835.5,6.0 ( 2 ),6.2 ( 2 ),0.9
3. Blue,66,64,7,6.5,67.5,"235,498",683.9,8.5 ( 5 ),8.7 ( 5 ),5
4. Canadian,4,3,0.1,0.1,0.7,"4,172","1,265.80",2.2 ( 2 ),1.0 ( 2 ),0
5. Colorado Headwaters,60,58,5.9,5.2,57.9,"812,312","2,906.10",9.0 ( 12 ),9.9 ( 11 ),4.1
6. Colorado Headwaters-Plateau,48,42,4.3,3.3,35.8,"319,444","1,813.00",6.6 ( 1 ),6.6 ( 1 ),2.2
7. Eagle,56,54,5.5,4.9,50.9,"242,011",918,7.4 ( 3 ),7.2 ( 3 ),4.6
8. Gila,5,7,0,0,0.2,"4,075","4,926.30",0.2 ( 6 ),0.1 ( 6 ),0
9. Gunnison,49,45,4.4,3.7,39.5,"1,286,971","6,459.70",7.9 ( 11 ),7.5 ( 11 ),3.4
10. Little Colorado,1,1,0,0,0,"2,422","16,398.00",2.9 ( 5 ),2.7 ( 5 ),0
11. Lower Colorado Mainstream,11,7,0.1,0.1,0.8,"33,116","10,697.40",4.7 ( 5 ),4.5 ( 4 ),0
12. Lower Green,49,40,4.3,3.2,30.8,"969,089","5,693.80",6.7 ( 24 ),6.3 ( 22 ),3
13. Lower Rio Grande,5,3,0.1,0,0.6,"4,607","1,796.70",1.8 ( 6 ),1.2 ( 6 ),0
14. Lower Sevier,26,20,1.2,0.8,8.9,"38,292",906.4,4.0 ( 4 ),6.1 ( 2 ),0.6
15. Pecos,13,9,0.6,0.3,3.5,"6,103",332.1,0.1 ( 2 ),0.1 ( 2 ),0.6
16. Provo-Utah Lake-Jordan,44,38,3.5,2.6,24.5,"376,856","2,694.10",11.4 ( 18 ),12.4 ( 15 ),3
17. Rio Chama-Upper Rio Grande,20,18,0.7,0.5,6.5,"139,596","5,227.90",3.6 ( 13 ),3.1 ( 13 ),0.8
18. Rio Grande Headwaters,41,38,1.9,1.5,15,"613,547","7,613.30",5.5 ( 14 ),4.9 ( 14 ),1.4
19. Roaring Fork,60,56,7,6.2,59.9,"451,370","1,360.30",9.4 ( 7 ),9.2 ( 7 ),6.2
20. Salt,1,1,0,0,0.3,"2,153","2,360.60",0.5 ( 8 ),0.2 ( 8 ),0
21. San Juan**,30,28,1.6,1.3,12.2,"453,679","6,425.50",6.8 ( 15 ),6.1 ( 14 ),1.5
22. San Pitch,37,37,2.2,2,18.6,"92,256",859.5,7.4 ( 6 ),6.8 ( 5 ),1.8
23. South Platte,39,46,1.8,1.9,27.2,"575,580","5,641.90",7.6 ( 21 ),7.8 ( 21 ),1.4
24. Southwestern Utah,27,21,0.5,0.4,4.5,"27,643","1,446.90",3.4 ( 5 ),3.2 ( 5 ),0.3
25. Toole Valley-Vernon Creek,29,25,0.8,0.6,5,"27,355",902.1,5.2 ( 4 ),2.7 ( 3 ),0.6
26. Upper Arkansas,41,40,1.5,1.3,14.5,"404,588","5,892.20",4.2 ( 7 ),3.7 ( 7 ),0.7
27. Upper Colorado-Dirty Devil,30,24,1.5,1.1,10.7,"146,493","2,608.00",5.0 ( 6 ),3.1 ( 7 ),1.3
28. Upper Colorado-Dolores,38,31,2.6,1.9,21,"351,231","3,453.30",9.0 ( 8 ),7.8 ( 8 ),2.1
29. Upper Sevier,30,23,1.6,1.1,12.3,"223,410","3,767.80",4.4 ( 15 ),3.8 ( 16 ),0.8
30. Verde,0,0,0,0,0,224,"1,820.70",0.3 ( 7 ),0.1 ( 6 ),0
31. Weber-Ogden§,50,39,5,2.9,31.2,"312,207","2,046.60",9.9 ( 17 ),9.9 ( 16 ),3.3
32. White-Yampa,55,51,5.4,4.4,46.3,"1,399,193","5,952.40",12.0 ( 15 ),11.8 ( 15 ),3.3
33. Animas,49,43,4.7,3.9,32.8,"190,936",922.5,7.4 ( 6 ),6.8 ( 6 ),4.1
