,4/26/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026
Basin,%4/26 Avg.,%5/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Bear,18,24,0.6,0.6,9.2,"198,003","6,323.40",3.4 ( 18 ),3.4 ( 18 ),0.8 ( 2 ),1.5
2. Beaver,9,11,0.1,0.1,1.7,"3,897",835.5,2.7 ( 2 ),3.3 ( 2 ),NA,0.2
3. Blue§,16,21,1,1.3,26.9,"48,230",683.9,3.4 ( 5 ),4.2 ( 5 ),NA,3.3
4. Canadian,0,1,0,0,0,96,"1,265.80",0.0 ( 2 ),0.4 ( 2 ),NA,0.4
5. Colorado Headwaters§,12,16,0.7,0.8,14.4,"128,556","2,906.10",3.8 ( 13 ),4.5 ( 13 ),NA,2.2
6. Colorado Headwaters-Plateau,11,15,0.4,0.4,8.9,"42,340","1,813.00",0.3 ( 1 ),1.0 ( 1 ),NA,0.8
7. Eagle,13,16,0.9,1,15.9,"47,224",918,0.0 ( 3 ),0.0 ( 3 ),NA,2.9
8. Gila,0,0,0,0,0,0,"4,926.30",0.1 ( 6 ),0.0 ( 6 ),0.8 ( 1 ),0
9. Gunnison§,12,17,0.5,0.6,10.3,"212,861","6,459.70",1.1 ( 11 ),1.3 ( 11 ),NA,0.9
10. Little Colorado,5,7,0,0,0,446,"16,398.00",0.1 ( 5 ),0.0 ( 5 ),NA,0
11. Lower Colorado Mainstream,0,0,0,0,0,77,"10,697.40",0.0 ( 5 ),0.0 ( 5 ),NA,0
12. Lower Green,11,18,0.5,0.6,10.7,"186,387","5,693.80",0.9 ( 24 ),1.2 ( 24 ),3.9 ( 1 ),0.9
13. Lower Rio Grande,1,0,0,0,0,0,"1,796.70",0.0 ( 6 ),0.0 ( 6 ),NA,0
14. Lower Sevier,1,4,0,0,0.7,"1,095",906.4,0.0 ( 4 ),0.0 ( 4 ),NA,0.1
15. Pecos,1,1,0,0,0.2,224,332.1,0.0 ( 2 ),0.2 ( 2 ),NA,0.1
16. Provo-Utah Lake-Jordan,11,16,0.3,0.4,8.7,"61,114","2,694.10",2.4 ( 18 ),2.3 ( 18 ),11.3 ( 1 ),0.6
17. Rio Chama-Upper Rio Grande,3,6,0,0,0.7,"10,337","5,227.90",0.7 ( 13 ),0.8 ( 13 ),NA,0.2
18. Rio Grande Headwaters§,10,18,0.2,0.3,5.2,"103,861","7,613.30",1.2 ( 14 ),1.4 ( 14 ),NA,0.3
19. Roaring Fork§,16,21,1.3,1.5,28.9,"111,572","1,360.30",2.2 ( 7 ),2.8 ( 7 ),NA,4.2
20. Salt,0,0,0,0,0,0,"2,360.60",0.1 ( 8 ),0.0 ( 8 ),NA,0
21. San Juan**,13,24,0.3,0.4,7.6,"141,813","6,425.50",0.9 ( 15 ),1.0 ( 15 ),NA,0.6
22. San Pitch,13,18,0.3,0.4,7.9,"17,140",859.5,0.1 ( 6 ),0.0 ( 6 ),0.0 ( 2 ),0.1
23. South Platte§,12,18,0.3,0.3,7.4,"102,308","5,641.90",2.3 ( 21 ),3.0 ( 21 ),NA,1.3
24. Southwestern Utah,5,6,0,0,0.4,"1,142","1,446.90",0.0 ( 5 ),0.0 ( 5 ),NA,0
25. Toole Valley-Vernon Creek,9,20,0.1,0.1,1.3,"4,190",902.1,0.0 ( 4 ),0.6 ( 4 ),NA,0.1
26. Upper Arkansas,13,19,0.2,0.3,4.4,"96,022","5,892.20",0.2 ( 7 ),0.9 ( 7 ),NA,0.7
27. Upper Colorado-Dirty Devil,9,11,0.1,0.1,2.3,"16,274","2,608.00",0.3 ( 7 ),0.2 ( 7 ),0.0 ( 2 ),0.4
28. Upper Colorado-Dolores§,9,15,0.2,0.3,4.3,"46,634","3,453.30",1.5 ( 9 ),1.6 ( 9 ),0.0 ( 1 ),0.6
29. Upper Sevier,7,7,0.1,0.1,1.6,"14,866","3,767.80",0.9 ( 16 ),0.9 ( 16 ),0.0 ( 1 ),0.1
30. Verde,3,2,0,0,0,14,"1,820.70",0.1 ( 7 ),0.0 ( 7 ),NA,0
31. Weber-Ogden§,11,15,0.4,0.5,8.1,"54,280","2,046.60",1.6 ( 17 ),2.1 ( 17 ),NA,0.8
32. White-Yampa§,11,14,0.6,0.6,10.3,"195,754","5,952.40",3.2 ( 15 ),4.1 ( 15 ),NA,1.7
33. Animas,15,25,0.9,1.3,22.4,"63,418",922.5,0.8 ( 6 ),1.1 ( 6 ),NA,2.3
